Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
PATR,PATRIOT TRANSPORTATION HOLDING INC,Equity,0,92.23,305,28130.15,-,Industrials,2343479,US70337B1026,NASDAQ,2007
TBSI,TBS INTERNATIONAL PLC (CL A),Equity,0,33.06,883,29191.98,-,Industrials,B0BV2Z0,BMG869751518,NASDAQ,2007
ALGT,ALLEGIANT TRAVEL,Equity,0,32.14,963,30950.82,-,Industrials,B15M2C3,US01748X1028,NASDAQ,2007
ULH,UNIVERSAL LOGISTICS INC,Equity,0,19.16,1007,19294.12,-,Industrials,B066PX9,US91388P1057,NASDAQ,2007
TGH,TEXTAINER GROUP HOLDINGS LTD,Equity,0,14.53,1261,18322.33,-,Industrials,B054DS5,BMG8766E1093,New York Stock Exchange Inc.,2007
ARII,AMERICAN RAILCAR INDUSTRIES INC,Equity,0,19.25,1702,32763.5,-,Industrials,B0WR837,US02916P1030,NASDAQ,2007
MLR,MILLER INDUSTRIES INC,Equity,0,13.69,1786,24450.34,-,Industrials,2801193,US6005512040,New York Stock Exchange Inc.,2007
DDMX,DYNAMEX INC.,Equity,0,27.06,1899,51386.94,-,Industrials,2271213,US26784F1030,NASDAQ,2007
SHS,SAUER INC,Equity,0,25.05,1969,49323.45,-,Industrials,2245070,US8041371076,New York Stock Exchange Inc.,2007
NOBLQ,NOBLE INTL LTD COM,Equity,0,16.31,2114,34479.34,-,Industrials,2127264,US6550531064,Non-Nms Quotation Service (Nnqs),2007
MPX,MARINE PRODUCTS CORP,Equity,0,7.01,2136,14973.37,-,Industrials,2737102,US5684271084,New York Stock Exchange Inc.,2007
ACAT,ARCTIC CAT INC.,Equity,0,11.94,2165,25850.1,-,Industrials,2047500,US0396701049,NASDAQ,2007
RAIL,FREIGHTCAR AMERICA INC,Equity,0,35,2211,77385,-,Industrials,B06T0P5,US3570231007,NASDAQ,2007
ATB,ARLINGTON TANKERS,Equity,0,22.13,2403,53178.39,-,Industrials,B03Q929,BMG048991035,New York Stock Exchange Inc.,2007
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Equity,0,54.22,2461,133435.42,-,Industrials,B01Z8P4,US0491642056,NASDAQ,2007
PHIIK,PETROLEUM HELICOPTERS NON VOTING I,Equity,0,31.02,2477,76836.54,-,Industrials,2684413,US69336T2050,NASDAQ,2007
SRI,STONERIDGE INC,Equity,0,8.04,2543,20445.72,-,Industrials,2111977,US86183P1021,New York Stock Exchange Inc.,2007
SAIA,SAIA INC,Equity,0,13.3,2555,33981.5,-,Industrials,2982399,US78709Y1055,NASDAQ,2007
ULTRF,ULTRAPETROL LTD,Equity,0,17.01,2736,46539.36,-,Industrials,B1G1605,BSP943981071,Non-Nms Quotation Service (Nnqs),2007
